Node ID,TI,Clusters 0,Clusters 1,Clusters 2,Sentiment Positive Score,Sentiment Negative Score,Sentiment Combined Score,Sentiment Summary,Strong Language Score,Betweenness Centrality,Degree,Triangles,Neighbors,Number of features,Leverage Centrality,Eigenvector Centrality,Pagerank,Clustering Coefficient,Closeness,Flow,K-shell,Inter-Cluster Connectivity,Initial Degree,Tags,Keywords,LA,RP,U2,U1,PU,PT,TC,D2,GP,OI,MA,PM,J9,VL,PI,ID,PD,AF,RI,PA,PG,BA,AU,BF,BE,CR,CA,BN,GA,BS,C1,BP,SP,JI,IS,SU,FX,FU,UT,DT,SC,SE,SI,HO,WC,DE,SN,SO,DI,Z9,EM,EI,PY,PN,CT,CL,EP,AR,CY,NR
19,A three-dimensional surface-enhanced Raman scattering substrate: Au nanoparticle supramolecular self-assembly in anodic aluminum oxide template,substrates / voltage / physics / solar cells / semiconductor,substrates / voltage / physics / solar cells / semiconductor,printed / anodizing / short circuit current / templates / enables / saturation current / substrate,4.872864538,0,1.956011503,positive,,482,3,1,,,,,0.001572608,,,0.000895201,,0,3,N/A,au; templates; oxide templates; hydrophobic; anodic aluminum oxide; anodic aluminum; aluminum oxide templates; enhancement; nanoparticles; anodic; substrate; aluminum oxide; wiley sons; underwent; surface modification; supramolecular; sons; signals; reproducibility; raman scattering; properly; possessed; points; molecule; modification; john wiley sons; john wiley; john; enhancement factor; detection; assembly; assembled; aggregated; ability; three dimensional; wiley; probe; scattering; raman; radiation; copyright; comparing; dimensional; designed; evaluate; factor; oxide; sized; hot; interaction; enhanced; confirmed; three; good; calculated; applied; laser; surface; formed; nm; prepared; aluminum,English,"Xu, WQ (reprint author), Jilin Univ, State Key Lab Supramol Struct & Mat, Changchun 130012, Peoples R China.",61,9,WILEY-BLACKWELL,J,16,,,,,,J RAMAN SPECTROSC,43,HOBOKEN,SILVER NANOPARTICLES; HOT-SPOTS; SERS; SPECTROSCOPY; FABRICATION; MONOLAYERS; ARRAYS; NUCLEATION; MEMBRANES; NANORODS,MAR,"Wang, Xinnan; Xu, Shuping; Li, Haibo; Tao, Jinlong; Zhao, Bing; Xu, Weiqing","ZHAO, Bing/P-2447-2014","111 RIVER ST, HOBOKEN 07030-5774, NJ USA",5,,"Wang, XN; Xu, SP; Li, HB; Tao, JL; Zhao, B; Xu, WQ",,N/A,,,,912FY,,"[Wang, Xinnan; Xu, Shuping; Li, Haibo; Tao, Jinlong; Zhao, Bing; Xu, Weiqing] Jilin Univ, State Key Lab Supramol Struct & Mat, Changchun 130012, Peoples R China",459,,J. Raman Spectrosc.,3,,"This work was supported by the National Natural Science Foundation of China (NSFC Grant Nos. 20773045, 20903043, 20973075, 21073073 and 91027010), Research Fund for the Doctoral Program of Higher Education of China Grant No. 20090061120089 and Project 20111020 supported by Graduate Innovation Fund of Jilin University.","National Natural Science Foundation of China (NSFC) [20773045, 20903043, 20973075, 21073073, 91027010]; Doctoral Program of Higher Education of China [20090061120089]; Jilin University [20111020]",WOS:000301781300015,Article,Spectroscopy,,,,Spectroscopy,SERS; hot spots; anodic aluminum oxide; self-assembled; supramolecular interaction,0377-0486,JOURNAL OF RAMAN SPECTROSCOPY,10.1002/jrs.3041,16,xuwq@jlu.edu.cn,,1-Jan-12,,,,463,,,36
20,Titania/alumina bilayer gate insulators for InGaAs metal-oxide-semiconductor devices,substrates / voltage / physics / solar cells / semiconductor,substrates / voltage / physics / solar cells / semiconductor,deposition / ink / electronic devices / leakage current,3.388837346,4.445247496,-0.617922241,negative,,3514,10,15,,,,,0.00275319,,,0.003039928,,0,10,N/A,gate; leakage; capacitance; tio; leakage current density; leakage current; bilayer; current density; conduction; suppress; stacked; simultaneously; order of magnitude; offset; layer deposited; electrical properties; dielectrics; describe; contributing; contributes; conduction band offset; conduction band; comparable; band offset; atomic layer; anneal; accumulation capacitance; accumulation; ability; oxides; achieve; initially; equivalent; magnitude; doi; dielectric; current; layer; reduce; density; gas; forming; ev; institute of physics; atomic; american institute; american; institute; deposited; physics; crystallization; electrical; relative; film; band; amorphous; single; thickness; order; increase; compared; observed; low; degrees; properties; al; high,English,"McIntyre, PC (reprint author), Stanford Univ, Dept Mat Sci & Engn, Stanford, CA 94305 USA.",13,1,AMER INST PHYSICS,J,16,,,,,,APPL PHYS LETT,99,MELVILLE,DIELECTRIC-CONSTANT OXIDES; SCHOTTKY-BARRIER HEIGHTS,5-Dec,"Ahn, Jaesoo; Geppert, Irina; Gunji, Marika; Holland, Martin; Thayne, Iain; Eizenberg, Moshe; McIntyre, Paul C.",,"CIRCULATION & FULFILLMENT DIV, 2 HUNTINGTON QUADRANGLE, STE 1 N O 1, MELVILLE, NY 11747-4501 USA",3,,"Ahn, J; Geppert, I; Gunji, M; Holland, M; Thayne, I; Eizenberg, M; McIntyre, PC",,N/A,,,,861FZ,,"[Ahn, Jaesoo; Gunji, Marika; McIntyre, Paul C.] Stanford Univ, Dept Mat Sci & Engn, Stanford, CA 94305 USA; [Geppert, Irina; Eizenberg, Moshe] Technion Israel Inst Technol, Dept Mat Engn, IL-32000 Haifa, Israel; [Holland, Martin; Thayne, Iain] Univ Glasgow, Nanoelect Res Ctr, Glasgow G12 8LT, Lanark, Scotland",,,Appl. Phys. Lett.,23,,"The authors acknowledge support from Semiconductor Research Corporation through the Non-Classical CMOS Research Center (Task ID 1437.005), the Stanford Initiative in Nanoscale Materials and Processes (INMP), and the US-Israel Binational Science Foundation.",Semiconductor Research Corporation through the Non-Classical CMOS Research Center [1437.005]; Stanford Initiative in Nanoscale Materials and Processes (INMP); US-Israel Binational Science Foundation,WOS:000298006100054,Article,Physics,,,,"Physics, Applied",N/A,Mar-51,APPLIED PHYSICS LETTERS,10.1063/1.3662966,16,pcm1@stanford.edu,1077-3118,1-Jan-11,,,,,232902,,17
21,Electronic structure of tris(8-hydroxyquinolinato)aluminium(III) revisited using the Heyd-Scuseria-Ernzerhof hybrid functional: Theory and experiments,electronic / calculations / theory / electronic properties,electronic / calculations / theory / electronic structure,calculations / approximation / density functional / functional theory,2.824031122,0,1.956011503,neutral,,146,8,14,,,,,0.002074248,,,0.002639556,,0,8,N/A,spectrum; theory; carbon; unoccupied; soft; screened; projected; photoemission; inverse; interpretation; hydroxyquinolinato; emission spectroscopy; core level; valence band; occupied; iii; electronic properties; valence; showing; hybrid; functional theory; density functional theory; fully; good agreement; adsorption; tris; nitrogen; density functional; alq; theoretical; finally; approach; functional; core; agreement; density; oxygen; emission; band; good; level; proposed; electronic; experiments; spectroscopy; experimental; well; compared; aluminium; ray; properties,English,"Bisti, F (reprint author), Univ Aquila, Dipartimento Fis, Via Vetoio 10, I-67100 Laquila, Italy.",8,0,AMER PHYSICAL SOC,J,16,,,"Stroppa, Alessandro/0000-0003-1000-4745; Picozzi, Silvia/0000-0002-3232-788X; DONARELLI, Maurizio/0000-0002-0374-9610",,,PHYS REV B,84,COLLEGE PK,ORGANIC ELECTROLUMINESCENT MATERIALS; PHOTOEMISSION; ALUMINUM; EXCHANGE; SPECTRA; DEVICES; SURFACE; ALQ(3); STATES,9-Nov,"Bisti, F.; Stroppa, A.; Donarelli, M.; Picozzi, S.; Ottaviano, L.","Stroppa, Alessandro/E-7702-2010; SPIN-CNR, L'Aquila/C-7274-2011; Picozzi, Silvia/E-2374-2011; Donarelli, Maurizio/N-8889-2014; ","ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA",5,,"Bisti, F; Stroppa, A; Donarelli, M; Picozzi, S; Ottaviano, L",,N/A,,,,845ZE,,"[Bisti, F.; Donarelli, M.; Ottaviano, L.] Univ Aquila, Dipartimento Fis, I-67100 Laquila, Italy; [Stroppa, A.; Picozzi, S.; Ottaviano, L.] CNR SPIN Aquila, I-67100 Laquila, Italy",,,Phys. Rev. B,19,,F.B. thanks Sincrotrone Trieste S.C.p.A. for financial support of his Ph.D. fellowship. The research leading to the theoretical results has received funding from the European Research Council (Grant Agreement No. 203523).,Sincrotrone Trieste S.C.p.A.; European Research Council [203523],WOS:000296866000002,Article,Physics,,,,"Physics, Condensed Matter",N/A,1098-0121,PHYSICAL REVIEW B,10.1103/PhysRevB.84.195112,16,federico.bisti@aquila.infn.it,,1-Jan-11,,,,,195112,,38
22,"Structure, Sodium Ion Role, and Practical Issues for beta-alumina as a High-k Solution-Processed Gate Layer for Transparent and Low-Voltage Electronics",substrates / voltage / physics / solar cells / semiconductor,substrates / voltage / physics / solar cells / semiconductor,deposition / ink / electronic devices / leakage current,1.954258286,1.391530622,-0.00696717,neutral,,2397,10,22,,,,,0.002717054,,,0.003142365,,0,10,N/A,issues; gate; beta alumina; dielectric; sodium; ions; voltage; beta; films; transistors; threshold; solution processed; slower; response time; propose; measures; low voltage; leakage current; leakage; high dielectric constant; high dielectric; gate dielectric; electronic devices; dielectric constant; crystallinity; crystal structure; contribution; conductor; concerning; ascribed; accumulation; transparent; tin; thin films; longer; polarization; zinc; shift; degree; rise; response; processed; ionic; caused; devices; improve; charge; field; diffusion; constant; alumina; thin; interface; crystal; published; electronic; developed; solution; current; behavior; paper; oxide; addition; experimental; materials; time; low; structure; high,English,"Katz, HE (reprint author), Johns Hopkins Univ, Dept Mat Sci & Engn, 206 Maryland Hall,3400 N Charles St, Baltimore, MD 21218 USA.",25,2,AMER CHEMICAL SOC,J,16,,,,,21978249,ACS APPL MATER INTER,3,WASHINGTON,THIN-FILM TRANSISTORS; ORGANIC TRANSISTORS; ROOM-TEMPERATURE; SOL-GEL; CONDUCTIVITY; DISPLAYS,NOV,"Zhang, Bo; Liu, Yu; Agarwal, Shweta; Yeh, Ming-Ling; Katz, Howard E.","Katz, Howard/A-3352-2010","1155 16TH ST, NW, WASHINGTON, DC 20036 USA",8,,"Zhang, B; Liu, Y; Agarwal, S; Yeh, ML; Katz, HE",,N/A,,,,850LG,,"[Zhang, Bo; Liu, Yu; Agarwal, Shweta; Yeh, Ming-Ling; Katz, Howard E.] Johns Hopkins Univ, Dept Mat Sci & Engn, Baltimore, MD 21218 USA",4254,,ACS Appl. Mater. Interfaces,11,,"This work was supported by NSF Division of Materials Research (Grant 1005398, studies of Na+ ion polarization and 0905176, X-ray diffraction) and AFOSR (Grant FA9550-09-1-0259, FET device studies and mobilities). We thank Ken Livi at Electron Microbeam Analytical Facility for the TEM analysis, Dr. Patricia McGuiggan for AFM analysis, and Dr. Kenneth Evans-Lutterodt at Brookhaven national lab for GISAXS analysis. We also thank Drs. William Wilson and Michael Falk for helpful discussions.","NSF Division of Materials Research [1005398, 0905176]; AFOSR [FA9550-09-1-0259]",WOS:000297195500015,Article,Science & Technology - Other Topics; Materials Science,,,,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary",sodium beta-alumina; dielectric; low voltage; transparent electronic; oxide semiconductor; transistor,1944-8244,ACS APPLIED MATERIALS & INTERFACES,10.1021/am2009103,16,hekatz@jhu.edu,,1-Jan-11,,,,4261,,,23
23,Contact Formation and Recombination at Screen-Printed Local Aluminum-Alloyed Silicon Solar Cell Base Contacts,substrates / voltage / physics / solar cells / semiconductor,substrates / voltage / physics / solar cells / semiconductor,printed / anodizing / short circuit current / templates / enables / saturation current / substrate,1.944189569,1.03359694,0.285226733,neutral,,70,6,8,,,,,0.001493799,,,0.001696924,,0,6,N/A,contact; recombination; omega cm; omega; fa; lifetime; cm; local; stack; screen printing; screen; saturation current densities; saturation current; saturation; reverse; realized; paste; microscopy images; mapping; images reveal; geometry; float; finding; electron microscopy images; current densities; carrier lifetime; carrier; camera; al doped; al alloyed; ablation; printing; employing; considerably; type; si; alloyed; images; depends; base; appropriate; full; zone; dynamic; dielectric; layer; lowest; subsequent; free; silicon; reveal; point; infrared; determine; densities; highly; charge; result; area; technique; scanning electron microscopy; laser; thickness; doped; current; measurements; scanning electron; formation; electron microscopy; scanning; microscopy; al; low; size; study; properties; electron,English,"Muller, J (reprint author), Hamelin ISFH, Solar Energy Res Inst, D-31860 Emmerthal, Germany.",22,0,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,J,16,,,,,,IEEE T ELECTRON DEV,58,PISCATAWAY,SURFACE RECOMBINATION; LIFETIME,OCT,"Mueller, Jens; Bothe, Karsten; Gatz, Sebastian; Plagwitz, Heiko; Schubert, Gunnar; Brendel, Rolf",,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA",7,,"Muller, J; Bothe, K; Gatz, S; Plagwitz, H; Schubert, G; Brendel, R",,N/A,,,,823CR,,"[Mueller, Jens; Bothe, Karsten; Gatz, Sebastian; Brendel, Rolf] Hamelin ISFH, Solar Energy Res Inst, D-31860 Emmerthal, Germany; [Plagwitz, Heiko; Schubert, Gunnar] Sunways AG, D-78467 Constance, Germany",3239,,IEEE Trans. Electron Devices,10,,This work was supported by the German state of Lower Saxony. The review of this paper was arranged by Editor A. G. Aberle.,German state of Lower Saxony,WOS:000295100300001,Article,Engineering; Physics,,,,"Engineering, Electrical & Electronic; Physics, Applied",Carrier lifetime; laser ablation; local back surface field (LBSF); silicon solar cells,0018-9383,IEEE TRANSACTIONS ON ELECTRON DEVICES,10.1109/TED.2011.2161089,16,j.mueller@isfh.de,,1-Jan-11,,,,3245,,,27
24,In situ measurements of growth rates and grain-averaged activation energies of individual grains during recrystallization of 50% cold-rolled aluminium,activation energy / grain growth / cold / energies for individual,activation energy / grain growth / cold / sintering,activation / grain boundary / densification / grain growth,6.423259948,2.325593114,0.669377069,positive,,3345,10,18,,,,,0.002788269,,,0.003018677,,0.3,10,N/A,individual grains; rolled; cold rolled; individual; cold; grains; kinetics; study the growth; reasons; radial; growth kinetics; dimensional x ray; constitute; block; averaged; activation energies; broad; growth; linear; findings; grain; materialia; acta materialia; acta; activation; energies; cell; three dimensional; aluminium; proposed; published by elsevier; dimensional; published; discussed; distribution; determined; microstructure; ray diffraction; three; diffraction; study; ray,English,"Poulsen, SO (reprint author), Riso DTU, Ctr Fundamental Res Met Struct Dimens 4, Frederiksborgvej 399, DK-4000 Roskilde, Denmark.",17,0,PERGAMON-ELSEVIER SCIENCE LTD,J,16,,,"Gundlach, Carsten/0000-0002-2895-1882; Oddershede, Jette/0000-0003-2319-7419",,,SCRIPTA MATER,64,OXFORD,METALS,JUN,"Poulsen, S. O.; Lauridsen, E. M.; Lyckegaard, A.; Oddershede, J.; Gundlach, C.; Curfs, C.; Jensen, D. Juul","Gundlach, Carsten/B-9122-2008; Curfs, Caroline/K-5898-2013; Oddershede, Jette/A-3816-2013","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",4,,"Poulsen, SO; Lauridsen, EM; Lyckegaard, A; Oddershede, J; Gundlach, C; Curfs, C; Jensen, DJ",,N/A,,,,751HF,,"[Poulsen, S. O.; Lauridsen, E. M.; Oddershede, J.] Riso DTU, Ctr Fundamental Res Met Struct Dimens 4, DK-4000 Roskilde, Denmark; [Lyckegaard, A.] Tech Univ Denmark, DTU Transport, DK-2800 Lyngby, Denmark; [Gundlach, C.] Lund Univ, MAX Lab, SE-22100 Lund, Sweden; [Curfs, C.] European Synchrotron Radiat Facil, F-38043 Grenoble 9, France; [Jensen, D. Juul] Riso DTU, Danish Chinese Ctr Nanomet, DK-4000 Roskilde, Denmark",1003,,Scr. Mater.,11,,The authors gratefully acknowledge the Danish National Research Foundation for supporting the Center for Fundamental Research: Metal Structures in Four Dimensions and the Danish Chinese Center for Nanometals. The ESRF is acknowledged for provision of beam time. Additional support for this work was provided by the Danish research council SNF (via DanScatt). The authors also thank R.A. Vandermeer for useful comments.,Danish National Research Foundation; Danish research council SNF (via DanScatt),WOS:000289607400002,Article,Science & Technology - Other Topics; Materials Science; Metallurgy & Metallurgical Engineering,,,,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",Static recrystallization; Recrystallization kinetics; Aluminum; Grain-averaged activation energy; X-ray diffraction (XRD),1359-6462,SCRIPTA MATERIALIA,10.1016/j.scriptamat.2011.01.046,16,spou@risoe.dtu.dk,,1-Jan-11,,,,1006,,,14
25,Building Stronger Ties With Alumni Through Facebook to Increase Volunteerism and Charitable Giving,No Cluster,No Cluster,No Cluster,2.923745685,0.530275905,1.360649805,neutral,,0,0,0,N/A,,,,0.000301234,,,0,,0,0,N/A,network; ties; dimensions; strength; site; predicted; modeling; mater; making; explores; ensure; contributes; communication; albeit; actual; behavior; influences; equation; showing; routes; observation; help; testing; influenced; groups; frequency; second; active; change; conducted; revealed; structural; paper; analysis,English,"Yuan, YC (reprint author), Cornell Univ, Dept Commun, 308 Kennedy Hall, Ithaca, NY 14853 USA.",26,4,WILEY-BLACKWELL,J,16,,,,,,J COMPUT-MEDIAT COMM,16,MALDEN,SOCIAL-INFLUENCE; PARTICIPATION; COMMUNITY; SENSE,APR,"Farrow, Harmonie; Yuan, Y. Connie",,"COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA",20,,"Farrow, H; Yuan, YC",,N/A,,,,747GE,,"[Yuan, Y. Connie] Cornell Univ, Dept Commun, Ithaca, NY 14853 USA; [Farrow, Harmonie] Texas Christian Univ, Ft Worth, TX 76129 USA",,,J. Comput.-Mediat. Commun.,3,,,,WOS:000289307500005,Article,Communication; Information Science & Library Science,,,,Communication; Information Science & Library Science,social networking sites; tie strength; attitude-behavior consistency,1083-6101,JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,10.1111/j.1083-6101.2011.01550.x,16,harmonie.farrow@tcu.edu; yy239@cornell.edu,,1-Jan-11,,,,,445,,50
26,The Characterisation of a Powder Metallurgically Manufactured TNM (TM) Titanium Aluminide Alloy Using Complimentary Quantitative Methods,alloy / power / yttrium aluminum garnet / corrosion / quality,alloy / power / yttrium aluminum garnet / corrosion / quality,images / image analysis / quantitative / program,3.388837346,0,1.956011503,neutral,,1129,5,2,,,,,0.002042831,,,0.001423296,,0,5,N/A,colour; microscopic; images; microstructures; quantitatively; polishing; etching; light; types; quantitative; microstructural; optical; tm; titanium aluminide; ti al; three different types; program; powder metallurgical; possibilities; phase fractions; optical and scanning; operations; nominal; nb; mo; microstructural analysis; metallurgical; manufactured; image analysis; image; fractions; etched; electrolytic; electro; diffraction experiments; cost effective; constituents; complementary; choice; captured; aluminide; evaluation; required; limits; titanium; explained; demonstrate; industrial; relationship; ti; cost; intermetallic; techniques; composition; presented; evaluated; phase; applications; effective; carried; analysis; discussed; experiments; work; order; parameters; determined; scanning electron; ray diffraction; alloy; scanning; three; diffraction; compared; method; ray; powder; electron; al,English,"Schloffer, M (reprint author), Univ Leoben, Dept Metallkunde & Werkstoffprufung, A-8700 Leoben, Austria.",7,0,CARL HANSER VERLAG,J,16,,,"Pyczak, Florian/0000-0002-9686-6575",,,PRAKT METALLOGR-PR M,48,MUNICH,N/A,,"Schloffer, M.; Schmoelzer, T.; Mayer, S.; Schwaighofer, E.; Hawranek, G.; Schimansky, F. -P.; Pyczak, F.; Clemens, H.","Clemens, Helmut/B-2866-2012; Pyczak, Florian/I-4331-2013","KOLBERGERSTRASSE 22, POSTFACH 86 04 20, D-81679 MUNICH, GERMANY",11,,"Schloffer, M; Schmoelzer, T; Mayer, S; Schwaighofer, E; Hawranek, G; Schimansky, FP; Pyczak, F; Clemens, H",,N/A,,,,874DA,,"[Schloffer, M.; Schmoelzer, T.; Mayer, S.; Schwaighofer, E.; Hawranek, G.; Clemens, H.] Univ Leoben, Dept Metallkunde & Werkstoffprufung, A-8700 Leoben, Austria; [Schimansky, F. -P.; Pyczak, F.] Zentrum Mat & Kustenforsch GmbH, Helmholtz Zentrum Geesthacht, D-21502 Geesthacht, Germany",594,,Prakt. Metallogr.-Pract. Metallogr.,11,,,,WOS:000298934400004,Article,Metallurgy & Metallurgical Engineering,,,,Metallurgy & Metallurgical Engineering,N/A,0032-678X,PRAKTISCHE METALLOGRAPHIE-PRACTICAL METALLOGRAPHY,,16,,,1-Jan-11,,,,604,,,7
27,Morphology investigation of yttrium aluminum garnet nano-powders prepared by a sol-gel combustion method,particle size / transmission electron / nano / nitrate / aluminum hydroxide,transmission electron / calcination / citric acid / aluminate,citric acid / garnet / calcined / nitrate,3.765374829,1.03359694,0.946228929,positive,,5,10,24,,,,,0.002757146,,,0.003187131,,0,10,N/A,nano powders; fuels; agents; nitrate; fuel; combustion; yag; agent; nano; gel; acid; precursors; thermal decomposition; sol gel combustion; smallest; size and high; sinterability; reaction rate; ray powder diffraction; ray powder; powder diffraction; nano particles; infrared spectroscopy; gel combustion method; gel combustion; ethylene; diamine; combustion method; calcined at degrees; blocking; average grain size; average grain; amorphous precursors; citric acid; citric; agglomeration; thermogravimetric; calcined; yttrium aluminum garnet; path; yttrium aluminum; yttrium; responsible; involved; decomposition; ir; tg; sol gel; differential scanning; synthesized; sol; dsc; aluminum garnet; garnet; lowest; analyses; reaction; rate; preparation; infrared; grain size; differential; highly; grains; derived; powders; diffusion; associated; tem; transmission electron microscopy; influence; transmission electron; amorphous; transmission; size; growth; xrd; average; grain; characterized; spectroscopy; thermal; formation; electron microscopy; scanning; particles; microscopy; diffraction; studied; method; ray; degrees; powder; electron; high; aluminum,English,"Zhao, JT (reprint author), Chinese Acad Sci, Shanghai Inst Ceram, Key Lab Transparent Optofunct Inorgan Mat, 1295 Ding Xi Rd, Shanghai 200050, Peoples R China.",42,5,ELSEVIER SCIENCE SA,J,16,,,,,,J ALLOY COMPD,500,LAUSANNE,LOW-TEMPERATURE SYNTHESIS; ND-YAG CERAMICS; TRANSPARENT CERAMICS; Y3AL5O12 YAG; STATE; LUMINESCENCE; NANOPOWDERS; PRECURSORS,18-Jun,"Guo, Kai; Chen, Hao-Hong; Guo, Xiangxin; Yang, Xin-Xin; Xu, Fang-Fang; Zhao, Jing-Tai","guo, kai/G-3694-2012","PO BOX 564, 1001 LAUSANNE, SWITZERLAND",5,,"Guo, K; Chen, HH; Guo, XX; Yang, XX; Xu, FF; Zhao, JT",,N/A,,,,615MM,,"[Guo, Kai; Chen, Hao-Hong; Guo, Xiangxin; Yang, Xin-Xin; Xu, Fang-Fang; Zhao, Jing-Tai] Chinese Acad Sci, Shanghai Inst Ceram, Key Lab Transparent Optofunct Inorgan Mat, Shanghai 200050, Peoples R China; [Guo, Kai] Chinese Acad Sci, Grad Sch, Beijing 100039, Peoples R China",34,,J. Alloy. Compd.,1,,"We would like to acknowledge the support from National Natural Science Foundation of China (Grant No. 50990304) and the Major Basic Research Programme of Shanghai (Grant No. 07DJ14001). Dr. Xiangxin Guo thanks financial supports from the ""Hundred Talent Project"" of Chinese Academy of Sciences and the ""Pujiang Talent Project"" of Shanghai Sciences and Technology Committee (Grant No. 09PJ1410600). We also appreciate very much of the suggestions associated with this work from Dr. E. Alejandro Leon-Escamilla from the Universidad Politecnica de Valencia (Spain).",National Natural Science Foundation of China [50990304]; Major Basic Research Programme of Shanghai [07DJ14001]; Chinese Academy of Sciences; Shanghai Sciences and Technology Committee [09PJ1410600],WOS:000279139400012,Article,Chemistry; Materials Science; Metallurgy & Metallurgical Engineering,,,,"Chemistry, Physical; Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",YAG nano-powder; Sol-gel combustion method; Chelating agent; Fuel; EDTA,0925-8388,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2010.03.037,18,jtzhao@mail.sic.ac.cn,,1-Jan-10,,,,38,,,30
28,Diffusional solidification phenomena in clad aluminum automotive braze sheet,deformation / purity / finite element / cold,deformation / purity / finite element / cold,finite element / acta materialia / fatigue / plastic,5.483888493,0.775197705,1.609878017,positive,,0,1,0,,,,,0.000578204,,,0.000279841,,0,1,N/A,clad; brazing; solidification; prior; dsc; core; liquid; diffusion; melting; aa; layers; result; suppression; side; removed; operation; novel and practical; metallographic; mechanical performance; liquid phase; inter; insight; duration; decreases rapidly; completely; cladding; solid; si; amount; practical; isothermal; interactions; cooling; responsible; rapidly; cycle; simulated; scanning calorimetry; impact; differential scanning calorimetry; differential scanning; consists; sheet; calorimetry; fraction; decreases; materialia; acta materialia; acta; interaction; differential; investigate; alloy; initial; novel; technique; performance; published by elsevier; published; formed; structure; measurements; data; microstructure; experimental; mechanical; well; formation; scanning; phase; temperature; aluminum,English,"Turriff, DM (reprint author), Univ Waterloo, Dept Mech & Mechatron Engn, 200 Univ Ave W, Waterloo, ON N2L 6E5, Canada.",25,5,PERGAMON-ELSEVIER SCIENCE LTD,J,16,,,"Corbin, Stephen/0000-0001-7351-4844",,,ACTA MATER,58,OXFORD,AL-SI ALLOYS; DENDRITIC GROWTH; MIGRATION; INTERFACE; KINETICS,FEB,"Turriff, D. M.; Corbin, S. F.; Kozdras, M.","Corbin, Stephen/J-6013-2012","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",10,,"Turriff, DM; Corbin, SF; Kozdras, M",,N/A,,,,556TS,,"[Turriff, D. M.; Corbin, S. F.] Univ Waterloo, Dept Mech & Mechatron Engn, Waterloo, ON N2L 6E5, Canada; [Kozdras, M.] Long Mfg, Thermal Prod, Oakville, ON L6K 3E4, Canada",1332,,Acta Mater.,4,,"The authors would like to acknowledge to financial support and in-kind contributions of the National Sciences and Engineering Research Council (NSERC), Initiative for Automotive Manufacturing Innovation (IAMI), and Long Manufacturing (thermal products division of DANA Corporation). The in-kind contributions of Peirre Marois at the Novelis Global Technology Centre (NGTC) were also much appreciated.",National Sciences and Engineering Research Council (NSERC); Initiative for Automotive Manufacturing Innovation (IAMI); Long Manufacturing (thermal products division of DANA Corporation),WOS:000274616000014,Article,Materials Science; Metallurgy & Metallurgical Engineering,,,,"Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",Aluminum; Brazing; DSC; Diffusion; Solidification,1359-6454,ACTA MATERIALIA,10.1016/j.actamat.2009.10.037,19,dmturrif@uwaterloo.ca,,1-Jan-10,,,,1341,,,20
